twohand_waveDescr1.dat
size1 23
size3 24
beh_type.id 12
sizes[]=39 37 45 47 49 43 39 41 47 46 41 38 47 56 49 51 42 45 43 49 46 41 42 
thresholds[]=0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16 
map[0][.]=0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
map[1][.]=0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
map[2][.]=0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
map[3][.]=0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
map[4][.]=0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
map[5][.]=0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
map[6][.]=0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
map[7][.]=0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
map[8][.]=0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
map[9][.]=0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
map[10][.]=0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
map[11][.]=0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
map[12][.]=0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 
map[13][.]=0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
map[14][.]=0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
map[15][.]=0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
map[16][.]=0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 
map[17][.]=0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 
map[18][.]=0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
map[19][.]=0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
map[20][.]=0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
map[21][.]=0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 
map[22][.]=0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
map[23][.]=0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
isLast[.]=false false false false false false false false false false false false false false false false false false false false false false false true 
descriptor[i][.]=(335, 304)(-0.0352941, -0.494424)(0.0470588, -0.498141)(-0.164706, 0.501859)(0.188235, 0.490706)
				 (335, 304)(-0.0111524, -0.494424)(0.0148699, -0.498141)(-0.0520446, 0.501859)(0.0594796, 0.490706)
				 (335, 304)(0, -0.498141)(-0.0557621, -0.36803)(-0.141264, -0.237918)(-0.156134, -0.0855019)(-0.152416, 0.0669145)(-0.0780669, 0.193309)(-0.070632, 0.345725)(-0.0594796, 0.498141)(0.0669145, 0.483271)(0.0892193, 0.334572)(0.100372, 0.185874)(0.152416, 0.0371747)(0.159851, -0.115242)(0.152416, -0.267658)(0.0780669, -0.390335)
				 (335, 304)(-0.0892193, 0.122677)(0.0780669, -0.35316)(-0.0557621, -0.360595)(-0.152416, 0.0669145)(-0.0594796, 0.498141)(0.0594796, 0.490706)(0.133829, -0.315985)(0.0817844, -0.427509)(0.0594796, -0.483271)(0.0148699, -0.498141)(-0.0334572, -0.483271)(-0.107807, -0.327138)
descriptor[i][.]=(334, 303)(-0.011236, -0.490842)(0.0561798, -0.498168)(-0.0337079, 0.501832)(0.168539, 0.487179)
				 (334, 303)(-0.003663, -0.490842)(0.018315, -0.498168)(-0.010989, 0.501832)(0.0549451, 0.487179)
				 (334, 303)(0.010989, -0.498168)(-0.0512821, -0.3663)(-0.131868, -0.241758)(-0.153846, -0.0842491)(-0.150183, 0.0695971)(-0.0732601, 0.186813)(-0.0659341, 0.340659)(-0.0549451, 0.494505)(0.032967, 0.47619)(0.0879121, 0.369963)(0.0989011, 0.216117)(0.157509, 0.0695971)(0.161172, -0.0842491)(0.153846, -0.241758)(0.0769231, -0.369963)
				 (334, 303)(-0.0842491, 0.131868)(0.0769231, -0.347985)(-0.047619, -0.351648)(-0.150183, 0.0805861)(-0.0659341, 0.483516)(-0.010989, 0.501832)(0.0549451, 0.487179)(0.032967, -0.494505)(-0.0512821, -0.362637)(-0.0842491, -0.333333)
descriptor[i][.]=(333, 304)(-0.015625, -0.496324)(0.0546875, -0.5)(-0.046875, 0.5)(0, 0.5)
				 (333, 304)(-0.00735294, -0.496324)(0.0257353, -0.5)(-0.0220588, 0.5)(0, 0.5)
				 (333, 304)(0, -0.5)(-0.0625, -0.341912)(-0.169118, -0.1875)(-0.235294, -0.00735294)(-0.102941, -0.0845588)(-0.0955882, 0.0992647)(-0.0698529, 0.279412)(-0.0477941, 0.463235)(0.0441176, 0.470588)(0.0955882, 0.330882)(0.110294, 0.147059)(0.150735, -0.0294118)(0.235294, -0.0330882)(0.180147, -0.209559)(0.0882353, -0.360294)
				 (333, 304)(-0.0992647, -0.0772059)(0.132353, -0.0147059)(0.0882353, -0.341912)(-0.0441176, -0.356618)(-0.224265, 0.0147059)(-0.113971, 0.0110294)(-0.0588235, 0.492647)(0.0588235, 0.485294)(0.202206, 0.0441176)(0.235294, -0.0183824)(0.158088, -0.275735)(0.132353, -0.323529)(0.0735294, -0.466912)(0.0330882, -0.496324)(0, -0.5)(-0.0441176, -0.459559)(-0.0477941, -0.367647)(-0.106618, -0.323529)
descriptor[i][.]=(327, 303)(-0.0252525, -0.454212)(0.0555556, -0.498168)(-0.0505051, 0.501832)(0.0252525, 0.501832)
				 (327, 303)(-0.018315, -0.454212)(0.040293, -0.498168)(-0.03663, 0.501832)(0.018315, 0.501832)
